Date;Open;High;Low;Close;Adj Close;Volume
6.3.2014;16,6875;16,790001;16,602501;16,6775;16,047161;6210000
7.3.2014;16,862499;16,8825;16,475;16,682501;16,051973;10561200
10.3.2014;16,6075;16,684999;16,387501;16,665001;16,035133;3594400
11.3.2014;16,752501;16,8125;16,309999;16,42;15,799394;10941600
12.3.2014;16,190001;16,4475;16,067499;16,43;15,809015;5320800
13.3.2014;16,5825;16,6175;15,745;15,9;15,299047;7755200
14.3.2014;15,7925;16,030001;15,685;15,7275;15,133067;9347600
17.3.2014;15,975;16,2775;15,9625;16,16;15,54922;5725600
18.3.2014;16,2575;16,575001;16,219999;16,512501;15,888398;6560800
19.3.2014;16,514999;16,584999;15,9325;16,2425;15,628603;9406400
20.3.2014;16,137501;16,5625;16,055;16,5275;15,902831;7272800
21.3.2014;16,737499;16,860001;16,2925;16,33;15,712795;6010400
24.3.2014;16,5175;16,565001;15,92;16,125;15,515543;5649600
25.3.2014;16,365;16,522499;16,092501;16,365;15,746472;4663200
26.3.2014;16,555;16,625;15,995;15,9975;15,392863;6104800
27.3.2014;15,9475;16,0975;15,725;15,92;15,318292;6171200
28.3.2014;16,032499;16,370001;16,004999;16,129999;15,520353;4215600
31.3.2014;16,440001;16,602501;16,3925;16,530001;15,905237;4538000
1.4.2014;16,6975;16,8825;16,647499;16,852501;16,215548;4354800
2.4.2014;16,93;17,092501;16,8325;17,02;16,376717;4244400
3.4.2014;17,112499;17,120001;16,805;16,950001;16,309362;3248800
4.4.2014;17,235001;17,247499;16,27;16,362499;15,744066;7689600
7.4.2014;16,23;16,3125;15,715;15,8025;15,205232;8202800
8.4.2014;15,7975;16,0825;15,62;16,004999;15,400079;6736000
9.4.2014;16,129999;16,532499;16;16,5275;15,902831;5480400
10.4.2014;16,51;16,5375;15,42;15,48;14,89492;7940000
11.4.2014;15,225;15,5375;15,01;15,055;14,485986;6743200
14.4.2014;15,4125;15,515;15,045;15,4175;14,834784;6520000
15.4.2014;15,5125;15,76;15,05;15,7275;15,133067;9829200
16.4.2014;16,0425;16,2225;15,845;16,2075;15,594926;6716400
17.4.2014;16,16;16,415001;16,067499;16,275;15,659874;5137600
21.4.2014;16,2875;16,465;16,2325;16,459999;15,837881;3591200
22.4.2014;16,495001;16,809999;16,477501;16,66;16,030323;6145200
23.4.2014;16,65;16,682501;16,522499;16,567499;15,941318;3158000
24.4.2014;16,807501;16,807501;16,4275;16,665001;16,035133;5153200
25.4.2014;16,48;16,525;16,135;16,25;15,635818;4324800
28.4.2014;16,442499;16,610001;15,905;16,407499;15,787365;7545200
29.4.2014;16,5625;16,700001;16,450001;16,622499;15,99424;3984800
30.4.2014;16,549999;16,825001;16,477501;16,797501;16,162626;4364000
1.5.2014;16,762501;16,915001;16,625;16,785;16,150599;4585600
2.5.2014;16,780001;16,995001;16,637501;16,717501;16,085651;4550400
5.5.2014;16,467501;16,8325;16,327499;16,807501;16,172249;3796800
